twoE,goldbach_count,normalized_R,is_power_of_two
4270220,18751,1.023509,False
4298426,15865,0.861038,False
4326818,14121,0.762014,False
4355398,14306,0.767593,False
4384166,14285,0.762092,False
4413124,14530,0.770740,False
4442274,28887,1.523558,False
4471616,14700,0.770882,False
4501152,29260,1.525665,False
4530884,14682,0.761174,False
4560812,14747,0.760180,False
4590936,35732,1.831403,False
4621260,47752,2.433502,False
4651786,14962,0.758129,False
4682512,16139,0.813098,False
4713440,20489,1.026362,False
4744574,16009,0.797364,False
4775912,16447,0.814502,False
4807458,31179,1.535253,False
4839214,15810,0.774037,False
4871178,34201,1.664873,False
4903352,15818,0.765607,False
4935740,20975,1.009412,False
4968342,31978,1.530134,False
5001160,21312,1.013944,False
5034194,18697,0.884450,False
5067446,17607,0.828129,False
5100916,16321,0.763257,False
5134610,24023,1.117022,False
5168524,16351,0.755944,False
5202664,16540,0.760312,False
5237028,33212,1.517965,False
5271620,23679,1.076070,False
5306442,33953,1.534141,False
5341492,18693,0.839801,False
5376774,38556,1.722261,False
5412288,41100,1.825403,False
5448038,17684,0.780921,False
5484024,46883,2.058501,False
5520246,35080,1.531457,False
5556708,36636,1.590239,False
5593412,19546,0.843570,False
5630358,35379,1.518160,False
5667548,18844,0.803995,False
5704984,17939,0.761004,False
5742666,36136,1.524184,False
5780598,38281,1.605420,False
5818780,27021,1.126717,False
5857214,21506,0.891622,False
5895902,19103,0.787464,False
5934846,37271,1.527593,False
5974048,18610,0.758386,False
6013508,18724,0.758665,False
6053228,19500,0.785584,False
6093212,19073,0.763984,False
6133458,38230,1.522566,False
6173972,22880,0.906013,False
6214752,38719,1.524436,False
6255802,23751,0.929765,False
6297122,21270,0.827875,False
6338716,20268,0.784358,False
6380586,39799,1.531375,False
6422730,52754,2.018229,False
6465154,20051,0.762705,False
6507858,48609,1.838411,False
6550844,20137,0.757227,False
6594114,40701,1.521743,False
6637670,29649,1.102177,False
6681514,25187,0.930941,False
6725646,42156,1.549209,False
6770070,55164,2.015630,False
6814788,41782,1.517919,False
6859802,20960,0.757103,False
6905112,43310,1.555449,False
6950722,23142,0.826366,False
6996634,21556,0.765320,False
7042848,43039,1.519290,False
7089368,26121,0.916794,False
7136194,24307,0.848236,False
7183332,47524,1.648927,False
7230778,21930,0.756537,False
7278540,58958,2.022259,False
7326616,24655,0.840818,False
7375010,29609,1.003975,False
7423724,29920,1.008703,False
7472760,60295,2.021088,False
7522118,22737,0.757773,False
7571804,24614,0.815624,False
7621818,47024,1.549277,False
7672162,24981,0.818316,False
7722838,23232,0.756657,False
7773850,39785,1.288348,False
7825198,24927,0.802574,False
7876884,47247,1.512482,False
7928914,29683,0.944767,False
7981286,23885,0.755863,False
8034004,26960,0.848278,False
8087070,70067,2.191957,False
8140488,48680,1.514152,False
8194258,24902,0.770111,False
8248382,24645,0.757788,False
8302864,24830,0.759094,False
8357708,25819,0.784798,False
8388608,24928,0.755273,True
8412912,51567,1.558439,False
8468482,29966,0.900422,False
8524418,30483,0.910697,False
8580724,26415,0.784632,False
8637400,36086,1.065745,False
8694454,25876,0.759819,False
8751882,51759,1.511116,False
8809690,36479,1.058896,False
8867880,93752,2.705760,False
8926454,26539,0.761538,False
8985416,29473,0.840871,False
9044766,53316,1.512378,False
9104510,35828,1.010469,False
9164648,27679,0.776155,False
9225182,27162,0.757281,False
9286116,65980,1.828964,False
9347454,58783,1.620100,False
9409196,28095,0.769868,False
9471346,30250,0.824156,False
9533906,29695,0.804385,False
9596880,74702,2.011914,False
9660270,75412,2.019361,False
9724078,39216,1.044079,False
9788308,28514,0.754787,False
9852962,36568,0.962417,False
9918042,57771,1.511708,False
9983554,34873,0.907283,False
10049498,29477,0.762487,False
10115876,29321,0.754090,False
10182694,32726,0.836821,False
10249954,35928,0.913415,False
10317658,32452,0.820297,False
